iter	Passed	Remaining
182	514	2298
183	516	2292
184	518	2285
185	520	2279
186	523	2277
187	526	2275
188	529	2272
189	531	2266
190	534	2261
191	536	2256
192	539	2254
193	542	2251
194	545	2250
195	547	2245
196	549	2239
197	551	2235
198	554	2232
199	557	2229
200	560	2226
201	562	2221
202	564	2216
203	567	2213
204	569	2210
205	574	2214
206	577	2212
207	579	2206
208	582	2205
209	585	2201
210	589	2203
211	592	2202
212	595	2201
213	599	2200
214	602	2199
215	606	2199
216	608	2195
217	610	2190
218	613	2187
219	616	2184
220	620	2188
221	623	2184
222	625	2180
223	628	2176
224	630	2173
225	635	2176
226	638	2174
227	640	2169
228	643	2165
229	645	2159
230	648	2158
231	651	2155
232	653	2151
233	656	2149
234	658	2144
235	661	2141
236	665	2143
237	668	2139
238	670	2134
239	672	2130
240	675	2126
241	678	2126
242	681	2124
243	684	2121
244	687	2117
245	689	2112
246	689	2103
247	693	2101
248	695	2098
249	698	2094
250	700	2091
251	703	2086
252	705	2082
253	709	2083
254	712	2082
255	716	2082
256	718	2077
257	720	2073
258	724	2072
259	727	2071
260	731	2069
261	733	2065
262	735	2061
263	738	2059
264	742	2059
265	745	2057
266	747	2053
267	750	2049
268	753	2046
269	756	2046
270	760	2045
271	763	2042
272	766	2040
273	768	2036
274	771	2034
275	775	2034
276	778	2032
277	781	2030
278	782	2022
279	788	2026
280	790	2022
281	792	2018
282	795	2015
283	798	2012
284	801	2010
285	805	2011
286	808	2007
287	810	2004
288	813	2000
289	815	1997
290	819	1996
291	821	1992
292	824	1988
293	825	1983
294	828	1979
295	830	1975
296	833	1973
297	836	1970
298	840	1970
299	844	1969
300	847	1967
301	852	1969
302	854	1966
303	857	1962
304	859	1957
305	862	1955
306	864	1951
307	866	1947
308	869	1944
309	872	1941
310	874	1937
311	876	1933
312	879	1929
313	882	1927
314	884	1923
315	887	1920
316	889	1916
317	891	1912
318	894	1909
319	897	1908
320	900	1904
321	902	1900
322	905	1897
323	907	1893
324	910	1890
325	912	1887
326	915	1884
327	918	1880
328	920	1876
329	922	1873
330	925	1870
331	928	1868
332	930	1864
333	934	1863
334	937	1861
335	940	1857
336	943	1855
337	946	1853
338	949	1851
339	952	1849
340	955	1846
341	959	1845
342	961	1841
343	963	1838
344	966	1834
345	968	1829
346	970	1826
347	974	1824
348	976	1821
349	979	1818
350	981	1815
351	983	1811
352	986	1808
353	989	1805
354	991	1801
355	994	1798
356	996	1795
357	999	1791
358	1001	1788
359	1004	1785
360	1007	1782
361	1009	1779
362	1012	1776
363	1014	1773
364	1018	1772
365	1022	1770
366	1023	1766
367	1027	1764
368	1030	1761
369	1036	1764
370	1038	1761
371	1041	1758
372	1043	1754
373	1046	1751
374	1049	1748
375	1052	1745
376	1054	1742
377	1057	1740
378	1060	1736
379	1062	1733
380	1065	1731
381	1068	1728
382	1071	1726
383	1073	1722
384	1076	1718
385	1078	1714
386	1082	1714
387	1084	1710
388	1087	1707
389	1089	1703
390	1091	1700
391	1094	1697
392	1096	1693
393	1098	1690
394	1100	1685
395	1102	1682
396	1105	1678
397	1107	1675
398	1110	1672
399	1114	1671
400	1115	1666
401	1119	1664
402	1123	1663
403	1128	1664
404	1135	1668
405	1142	1671
406	1146	1670
407	1150	1669
408	1156	1670
409	1161	1671
410	1166	1671
411	1172	1673
412	1186	1686
413	1202	1701
414	1209	1704
415	1216	1708
416	1221	1707
417	1224	1704
418	1227	1702
419	1232	1701
420	1235	1698
421	1237	1695
422	1240	1692
423	1245	1692
424	1248	1689
425	1249	1684
426	1251	1680
427	1254	1676
428	1257	1674
429	1261	1672
430	1264	1670
431	1267	1666
432	1269	1662
433	1272	1660
434	1277	1658
435	1280	1656
436	1282	1652
437	1285	1648
438	1287	1645
439	1292	1645
440	1295	1641
441	1296	1637
442	1299	1633
